rk,school,div,str,ofs,dfs,sos
1,st-cloud-state,D1,4.556,2.246,0.493,1.507
2,boston-college,D1,4.495,2.049,0.456,1.513
3,north-dakota,D1,4.451,1.917,0.431,1.495
4,quinnipiac,D1,4.411,2.021,0.458,1.476
5,providence,D1,4.032,1.751,0.434,1.507
6,michigan,D1,3.753,2.363,0.629,1.496
7,denver,D1,3.750,1.843,0.491,1.576
8,minnesota-duluth,D1,3.707,1.598,0.431,1.624
9,umass-lowell,D1,3.628,1.589,0.438,1.487
10,harvard,D1,3.579,1.894,0.529,1.533
11,notre-dame,D1,3.385,1.691,0.499,1.553
12,yale,D1,3.361,1.463,0.435,1.468
13,michigan-tech,D1,3.321,1.729,0.521,1.406
14,northeastern,D1,3.273,1.795,0.549,1.536
15,boston-university,D1,3.085,1.756,0.569,1.559
16,minnesota,D1,3.043,1.741,0.572,1.574
17,minnesota-state,D1,2.995,1.403,0.469,1.451
18,st-lawrence,D1,2.986,1.569,0.526,1.486
19,robert-morris,D1,2.965,1.939,0.654,1.363
20,bowling-green,D1,2.823,1.507,0.534,1.422
21,penn-state,D1,2.700,1.802,0.667,1.458
22,nebraska-omaha,D1,2.680,1.625,0.606,1.578
23,ohio-state,D1,2.664,1.872,0.703,1.524
24,miami,D1,2.558,1.412,0.552,1.596
25,air-force,D1,2.545,1.439,0.565,1.350
26,cornell,D1,2.479,1.350,0.545,1.511
27,clarkson,D1,2.446,1.418,0.580,1.446
28,holy-cross,D1,2.421,1.487,0.614,1.352
29,ferris-state,D1,2.411,1.496,0.620,1.450
30,bemidji-state,D1,2.373,1.383,0.583,1.452
31,dartmouth,D1,2.355,1.481,0.629,1.516
32,union,D1,2.315,1.412,0.610,1.475
33,rensselaer,D1,2.308,1.334,0.578,1.480
34,new-hampshire,D1,2.269,1.657,0.730,1.472
35,vermont,D1,2.257,1.261,0.559,1.557
36,merrimack,D1,2.229,1.364,0.612,1.495
37,northern-michigan,D1,2.164,1.328,0.614,1.447
38,michigan-state,D1,2.118,1.379,0.651,1.561
39,rit,D1,2.098,1.469,0.700,1.353
40,army,D1,2.021,1.157,0.573,1.344
41,wisconsin,D1,2.012,1.414,0.703,1.537
42,st-norbert,D3,1.993,1.298,0.651,0.952
43,mercyhurst,D1,1.973,1.438,0.729,1.355
44,connecticut,D1,1.927,1.343,0.697,1.472
45,colgate,D1,1.901,1.452,0.764,1.492
46,sacred-heart,D1,1.890,1.298,0.687,1.350
47,western-michigan,D1,1.886,1.405,0.745,1.656
48,brown,D1,1.882,1.431,0.760,1.514
49,adrian,D3,1.853,1.527,0.824,0.951
50,bentley,D1,1.852,1.326,0.716,1.369
51,wisconsin-stevens-point,D3,1.850,1.444,0.781,0.977
52,alaska-anchorage,D1,1.815,1.300,0.716,1.418
53,alaska,D1,1.786,1.329,0.744,1.439
54,lake-superior,D1,1.772,1.069,0.603,1.442
55,alabama-huntsville,D1,1.706,1.242,0.728,1.453
56,canisius,D1,1.696,1.211,0.714,1.378
57,hobart,D3,1.694,1.187,0.700,0.975
58,princeton,D1,1.655,1.158,0.700,1.478
59,colorado-college,D1,1.655,1.265,0.764,1.661
60,maine,D1,1.650,1.175,0.712,1.522
61,massachusetts,D1,1.627,1.384,0.851,1.533
62,wisconsin-eau-claire,D3,1.468,1.134,0.773,0.958
63,babson,D3,1.423,1.000,0.703,0.912
64,umass-boston,D3,1.420,1.246,0.878,0.916
65,marian,D3,1.384,1.007,0.728,0.931
66,williams,D3,1.335,0.918,0.687,0.957
67,niagara,D1,1.322,1.043,0.789,1.367
68,plattsburgh,D3,1.321,1.204,0.911,0.941
69,buffalo-state,D3,1.259,1.015,0.806,0.944
70,geneseo,D3,1.245,1.176,0.945,0.964
71,trinity,D3,1.208,1.088,0.901,0.951
72,salem-state,D3,1.167,1.073,0.920,0.825
73,american-international,D1,1.166,1.098,0.942,1.360
74,oswego,D3,1.157,0.935,0.808,0.948
75,arizona-state,D1,1.142,1.006,0.881,1.308
76,augsburg,D3,1.121,1.034,0.922,0.925
77,wisconsin-river-falls,D3,1.107,0.818,0.740,0.909
78,norwich,D3,1.092,0.961,0.880,0.920
79,st-scholastica,D3,1.089,1.025,0.941,0.914
80,neumann,D3,1.068,1.033,0.968,0.971
81,salve-regina,D3,1.028,1.015,0.988,0.885
82,hamilton,D3,1.021,0.862,0.844,0.883
83,utica,D3,1.008,0.901,0.894,0.995
84,st-thomas,D3,0.993,0.880,0.886,0.924
85,st-johns,D3,0.992,0.942,0.950,0.935
86,elmira,D3,0.990,1.109,1.121,1.003
87,plymouth-state,D3,0.988,0.897,0.908,0.809
88,nichols,D3,0.944,0.916,0.970,0.843
89,tufts,D3,0.932,0.860,0.923,0.914
90,bowdoin,D3,0.930,1.004,1.080,0.933
91,new-england-college,D3,0.930,0.952,1.024,0.878
92,endicott,D3,0.902,0.986,1.093,0.868
93,milwaukee-school-of-engineering,D3,0.889,0.775,0.871,0.895
94,university-of-new-england,D3,0.881,1.099,1.248,0.902
95,middlebury,D3,0.856,0.838,0.979,0.949
96,nazareth,D3,0.837,0.903,1.078,1.012
97,colby,D3,0.832,0.846,1.016,0.957
98,brockport,D3,0.832,1.052,1.265,0.953
99,manhattanville,D3,0.824,1.053,1.277,0.975
100,amherst,D3,0.796,0.789,0.990,0.944
101,johnson-and-wales,D3,0.791,0.814,1.029,0.869
102,potsdam,D3,0.761,0.813,1.068,0.928
103,st-anselm,D2,0.736,0.762,1.036,0.861
104,hamline,D3,0.731,0.998,1.366,0.909
105,curry,D3,0.727,0.800,1.100,0.905
106,fredonia,D3,0.726,0.956,1.317,0.890
107,st-marys,D3,0.698,1.041,1.491,0.887
108,concordia-mn,D3,0.695,0.830,1.196,0.891
109,wisconsin-stout,D3,0.673,0.837,1.243,0.921
110,skidmore,D3,0.673,0.789,1.172,0.945
111,cortland,D3,0.670,0.855,1.276,0.922
112,wisconsin-superior,D3,0.650,0.844,1.297,0.929
113,westfield-state,D3,0.648,0.879,1.357,0.813
114,suffolk,D3,0.645,0.854,1.325,0.827
115,concordia-wi,D3,0.644,0.755,1.173,0.910
116,becker,D3,0.636,0.878,1.379,0.846
117,lake-forest,D3,0.634,0.864,1.363,0.941
