BEGIN
CREATE TABLE
INSERT 0 54
 rk |         school         | div |  str  |  ofs  |  dfs  |  sos  
----+------------------------+-----+-------+-------+-------+-------
  1 | st-cloud-state         |   1 | 3.970 | 1.654 | 0.417 | 1.468
  2 | quinnipiac             |   1 | 3.495 | 1.722 | 0.493 | 1.491
  3 | merrimack              |   1 | 3.450 | 1.712 | 0.496 | 1.478
  4 | boston-college         |   1 | 3.295 | 1.583 | 0.481 | 1.462
  5 | nebraska-omaha         |   1 | 3.055 | 1.523 | 0.499 | 1.487
  6 | providence             |   1 | 3.044 | 1.668 | 0.548 | 1.479
  7 | massachusetts          |   1 | 2.990 | 1.801 | 0.602 | 1.496
  8 | st-lawrence            |   1 | 2.892 | 1.540 | 0.532 | 1.468
  9 | north-dakota           |   1 | 2.794 | 1.600 | 0.573 | 1.488
 10 | denver                 |   1 | 2.787 | 1.523 | 0.546 | 1.503
 11 | western-michigan       |   1 | 2.777 | 1.420 | 0.511 | 1.536
 12 | umass-lowell           |   1 | 2.769 | 1.347 | 0.487 | 1.480
 13 | michigan-tech          |   1 | 2.725 | 1.538 | 0.564 | 1.412
 14 | minnesota-duluth       |   1 | 2.719 | 1.389 | 0.511 | 1.505
 15 | union                  |   1 | 2.688 | 1.352 | 0.503 | 1.511
 16 | connecticut            |   1 | 2.684 | 1.610 | 0.600 | 1.490
 17 | robert-morris          |   1 | 2.655 | 1.519 | 0.572 | 1.359
 18 | clarkson               |   1 | 2.634 | 1.576 | 0.598 | 1.482
 19 | penn-state             |   1 | 2.549 | 1.708 | 0.670 | 1.372
 20 | michigan               |   1 | 2.545 | 1.533 | 0.602 | 1.375
 21 | notre-dame             |   1 | 2.544 | 1.694 | 0.666 | 1.512
 22 | bowling-green          |   1 | 2.533 | 1.448 | 0.572 | 1.406
 23 | sacred-heart           |   1 | 2.466 | 1.339 | 0.543 | 1.373
 24 | alaska                 |   1 | 2.442 | 1.406 | 0.576 | 1.405
 25 | vermont                |   1 | 2.394 | 1.395 | 0.583 | 1.519
 26 | colgate                |   1 | 2.357 | 1.653 | 0.701 | 1.479
 27 | boston-university      |   1 | 2.357 | 1.510 | 0.641 | 1.517
 28 | bentley                |   1 | 2.349 | 1.308 | 0.557 | 1.351
 29 | alabama-huntsville     |   1 | 2.322 | 1.496 | 0.644 | 1.424
 30 | mercyhurst             |   1 | 2.305 | 1.688 | 0.732 | 1.355
 31 | new-hampshire          |   1 | 2.293 | 1.535 | 0.670 | 1.496
 32 | alaska-anchorage       |   1 | 2.279 | 1.568 | 0.688 | 1.416
 33 | michigan-state         |   1 | 2.261 | 1.369 | 0.606 | 1.406
 34 | bemidji-state          |   1 | 2.226 | 1.511 | 0.679 | 1.411
 35 | miami                  |   1 | 2.180 | 1.410 | 0.647 | 1.540
 36 | maine                  |   1 | 2.145 | 1.150 | 0.536 | 1.534
 37 | air-force              |   1 | 2.111 | 1.454 | 0.689 | 1.381
 38 | ferris-state           |   1 | 2.109 | 1.284 | 0.609 | 1.423
 39 | rensselaer             |   1 | 2.083 | 1.280 | 0.615 | 1.500
 40 | northern-michigan      |   1 | 2.077 | 1.379 | 0.664 | 1.418
 41 | northeastern           |   1 | 2.071 | 1.250 | 0.604 | 1.513
 42 | colorado-college       |   1 | 2.033 | 1.375 | 0.677 | 1.562
 43 | holy-cross             |   1 | 2.021 | 1.380 | 0.683 | 1.374
 44 | army                   |   1 | 1.935 | 1.340 | 0.692 | 1.418
 45 | lake-superior          |   1 | 1.922 | 1.357 | 0.706 | 1.427
 46 | niagara                |   1 | 1.915 | 1.319 | 0.689 | 1.364
 47 | minnesota-state        |   1 | 1.870 | 1.116 | 0.597 | 1.461
 48 | ohio-state             |   1 | 1.754 | 1.193 | 0.680 | 1.423
 49 | arizona-state          |   1 | 1.739 | 1.113 | 0.640 | 1.500
 50 | minnesota              |   1 | 1.730 | 1.103 | 0.637 | 1.429
 51 | wisconsin              |   1 | 1.700 | 1.209 | 0.711 | 1.415
 52 | canisius               |   1 | 1.668 | 1.259 | 0.755 | 1.403
 53 | rit                    |   1 | 1.653 | 1.201 | 0.727 | 1.388
 54 | american-international |   1 | 1.434 | 1.350 | 0.942 | 1.392
(54 rows)

COPY 54
COMMIT
